year_month,uf,product,unit,volume,created_at
2001-1,AC,ÓLEO COMBUSTÍVEL ,m3,0.0,2022-03-17
2001-1,RO,ÓLEO COMBUSTÍVEL ,m3,28.97,2022-03-17
2001-1,DF,ÓLEO DIESEL ,m3,29320.0,2022-03-17
2001-1,GO,ÓLEO DIESEL ,m3,98526.95,2022-03-17
2001-1,MT,ÓLEO DIESEL ,m3,98328.71,2022-03-17
2001-1,MS,ÓLEO DIESEL ,m3,65971.73,2022-03-17
2001-1,RS,ÓLEO DIESEL ,m3,193159.86,2022-03-17
2001-1,SC,ÓLEO DIESEL ,m3,124145.74,2022-03-17
2001-1,PR,ÓLEO DIESEL ,m3,219331.93,2022-03-17
2001-1,SP,ÓLEO DIESEL ,m3,666507.81,2022-03-17
2001-1,RJ,ÓLEO DIESEL ,m3,181954.87,2022-03-17
2001-1,ES,ÓLEO DIESEL ,m3,60935.23,2022-03-17
2001-1,MG,ÓLEO DIESEL ,m3,344907.21,2022-03-17
2001-1,BA,ÓLEO DIESEL ,m3,155361.36,2022-03-17
2001-1,SE,ÓLEO DIESEL ,m3,18414.73,2022-03-17
2001-1,AL,ÓLEO DIESEL ,m3,32329.51,2022-03-17
2001-1,PE,ÓLEO DIESEL ,m3,71504.83,2022-03-17
2001-1,PB,ÓLEO DIESEL ,m3,24208.71,2022-03-17
2001-1,RN,ÓLEO DIESEL ,m3,29167.98,2022-03-17
2001-1,CE,ÓLEO DIESEL ,m3,48309.32,2022-03-17
2001-1,PI,ÓLEO DIESEL ,m3,20870.15,2022-03-17
2001-1,MA,ÓLEO DIESEL ,m3,52937.6,2022-03-17
2001-1,TO,ÓLEO DIESEL ,m3,26245.64,2022-03-17
2001-1,AP,ÓLEO DIESEL ,m3,9273.76,2022-03-17
2001-1,PA,ÓLEO DIESEL ,m3,82785.7,2022-03-17
2001-1,RR,ÓLEO DIESEL ,m3,6462.23,2022-03-17
2001-1,AM,ÓLEO DIESEL ,m3,36288.06,2022-03-17
2001-1,AC,ÓLEO DIESEL ,m3,20061.48,2022-03-17
2001-1,RO,ÓLEO DIESEL ,m3,42405.27,2022-03-17
2001-1,DF,QUEROSENE DE AVIAÇÃO ,m3,23661.38,2022-03-17
2001-1,GO,QUEROSENE DE AVIAÇÃO ,m3,4943.4,2022-03-17
2001-1,MT,QUEROSENE DE AVIAÇÃO ,m3,2694.22,2022-03-17
2001-1,MS,QUEROSENE DE AVIAÇÃO ,m3,1820.06,2022-03-17
2001-1,RS,QUEROSENE DE AVIAÇÃO ,m3,9944.29,2022-03-17
2001-1,SC,QUEROSENE DE AVIAÇÃO ,m3,6487.04,2022-03-17
2001-1,PR,QUEROSENE DE AVIAÇÃO ,m3,11307.5,2022-03-17
2001-1,SP,QUEROSENE DE AVIAÇÃO ,m3,200673.25,2022-03-17
2001-1,RJ,QUEROSENE DE AVIAÇÃO ,m3,62100.86,2022-03-17
2001-1,ES,QUEROSENE DE AVIAÇÃO ,m3,1668.04,2022-03-17
2001-1,MG,QUEROSENE DE AVIAÇÃO ,m3,8922.19,2022-03-17
2001-1,BA,QUEROSENE DE AVIAÇÃO ,m3,22209.11,2022-03-17
2001-1,SE,QUEROSENE DE AVIAÇÃO ,m3,1374.41,2022-03-17
2001-1,AL,QUEROSENE DE AVIAÇÃO ,m3,2073.58,2022-03-17
2001-1,PE,QUEROSENE DE AVIAÇÃO ,m3,18962.58,2022-03-17
2001-1,PB,QUEROSENE DE AVIAÇÃO ,m3,1138.2,2022-03-17
2001-1,RN,QUEROSENE DE AVIAÇÃO ,m3,4332.06,2022-03-17
2001-1,CE,QUEROSENE DE AVIAÇÃO ,m3,11849.96,2022-03-17
2001-1,PI,QUEROSENE DE AVIAÇÃO ,m3,1349.73,2022-03-17
2001-1,MA,QUEROSENE DE AVIAÇÃO ,m3,2787.08,2022-03-17
2001-1,TO,QUEROSENE DE AVIAÇÃO ,m3,746.95,2022-03-17
2001-1,AP,QUEROSENE DE AVIAÇÃO ,m3,429.7,2022-03-17
2001-1,PA,QUEROSENE DE AVIAÇÃO ,m3,8395.16,2022-03-17
2001-1,RR,QUEROSENE DE AVIAÇÃO ,m3,224.02,2022-03-17
2001-1,AM,QUEROSENE DE AVIAÇÃO ,m3,10220.04,2022-03-17
2001-1,AC,QUEROSENE DE AVIAÇÃO ,m3,1528.01,2022-03-17
