COMBUSTÍVEL,ANO,REGIÃO,ESTADO,UNIDADE,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL
GLP (m3),2001,REGIÃO SUDESTE,ESPÍRITO SANTO,m3,18412.92182,15850.78,18725.99091,16514.52727,18881.92545,18555.79273,18863.03636,20293.42182,19248.04182,19333.16,18744.64182,20688.58727,224112.8273
GLP (m3),2001,REGIÃO SUDESTE,MINAS GERAIS,m3,111235.6436,99665.85636,118038.22,106790.2873,121673.2545,122636.5709,123002.9636,125218.6636,116496.4473,125396.9582,113777.1945,120699.1582,1404631.218
GLP (m3),2001,REGIÃO NORDESTE,BAHIA,m3,62841.82545,55084.77091,65413.95818,61094.17636,66764.28545,68236.90545,66659.95091,69392.69091,66351.57636,67400.43818,61841.96727,69273.14545,780355.6909
GLP (m3),2001,REGIÃO NORDESTE,SERGIPE,m3,8085.249091,7247.605455,8492.765455,8201.329091,8739.641818,8751.883636,8452.329091,9057.327273,8504.527273,8843.34,8037.987273,9097.967273,101511.9527
GLP (m3),2001,REGIÃO NORDESTE,ALAGOAS,m3,12720.71273,11068.24,12582.09091,11786.94,12622.54,12715.24727,11941.40545,13000.37818,12289.13818,12576.05455,11534.32182,13153.20182,147990.2709
GLP (m3),2001,REGIÃO NORDESTE,PERNAMBUCO,m3,39204.74,30954.82182,38881.76,37331.38909,40445.79091,40517.11091,40571.54909,41109.37091,38609.41273,40600.24182,38116.52,40766.51091,467109.2182
GLP (m3),2001,REGIÃO NORDESTE,PARAÍBA,m3,17061.49273,12820.08909,16438.48909,15212.16182,16538.82182,17339.25818,17283.03091,16543.57455,16365.01818,17267.95636,16306.42364,16400.32364,195576.64
GLP (m3),2001,REGIÃO NORDESTE,RIO GRANDE DO NORTE,m3,17524.16545,14440.41636,16786.89818,15650.06909,17328.56182,16829.25091,16885.7,16165.20182,15420.39636,17033.53818,15842.11455,16727.36909,196633.6818
GLP (m3),2001,REGIÃO NORDESTE,CEARÁ,m3,32196.36909,29425.5,32445.92727,32777.73455,34181.85636,34727.63091,33374.17636,33512.54727,32419.76,33890.51455,32760.45636,34693.33636,396405.8091
GLP (m3),2001,REGIÃO NORDESTE,PIAUÍ,m3,10848.85818,9655.612727,10664.80545,11037.55818,11726.27091,11119.49636,10808.82364,11396.33273,10145.54909,10860.00545,10370.49273,10928.30545,129562.1109
GLP (m3),2001,REGIÃO NORDESTE,MARANHÃO,m3,15816.96,15881.33636,15827.31818,16163.92545,16227.62727,15600.73273,15546.94,15119.61455,13678.26727,15144.95273,15099.18727,16153.34727,186260.2091
GLP (m3),2001,REGIÃO NORTE,TOCANTINS,m3,6514.34,6122.914545,6694.525455,6512.04,6639.303636,6320.929091,6424.674545,6796.550909,6102.185455,6879.870909,6555.467273,7211.561818,78774.36364
GLP (m3),2001,REGIÃO NORTE,AMAPÁ,m3,1784.434545,1976.381818,2068.58,1910.214545,2053.494545,2025.461818,1989.130909,2003.227273,1793.323636,2009.26,2019.541818,2160.252727,23793.30364
GLP (m3),2001,REGIÃO NORTE,PARÁ,m3,22919.97818,21267.15636,23610.12909,21336.66545,22459.83818,22939.96727,22017.89273,22676.30182,20523.70909,23216.76727,22491.63273,23638.18545,269098.2236
GLP (m3),2001,REGIÃO NORTE,RORAIMA,m3,1244.301818,1235.349091,1418.216364,1331.954545,1301.772727,1309.56,1449.136364,1569.258182,1387.907273,1296.46,1353.390909,1496.692727,16394
GLP (m3),2001,REGIÃO NORTE,AMAZONAS,m3,10449.32182,10270.55455,11004.29818,10751.02545,11297.96545,11115.98727,10750.63818,12151.26182,9783.72,11063.62545,10598.71455,13188.09818,132425.2109
GLP (m3),2001,REGIÃO NORTE,ACRE,m3,2249.263636,2063.527273,2040.796364,2178.643636,1993.481818,2487.825455,1848.301818,2672.274545,1772.463636,2705.469091,2273.918182,2525.850909,26811.81636
GLP (m3),2001,REGIÃO NORTE,RONDÔNIA,m3,6118.96,5997.94,6630.110909,5765.929091,6378.690909,6448.270909,6176.894545,7037.763636,5959.112727,6525.594545,6110.410909,6897.847273,76047.52545
GASOLINA C (m3),2001,REGIÃO NORTE,RONDÔNIA,m3,10440.37,9566.95,10895.277,10727.244,11164.73,11587.966,11225.507,12358.21,11392.627,11387.328,11948.356,10500.844,133195.409
GASOLINA C (m3),2001,REGIÃO NORTE,ACRE,m3,3037.472,2758.426,3116.71,3103.785,3329.646,3407.22,3304.844,3755.668,3227.582,3347.465,3345.625,3158.298,38892.741
GASOLINA C (m3),2001,REGIÃO NORTE,AMAZONAS,m3,18643.204,18332.105,20282.033,19375.104,21367.65,20798.383,20175.47,21983.399,20174.374,22763.56,21999.867,20211.513,246106.662
GASOLINA C (m3),2001,REGIÃO NORTE,RORAIMA,m3,2971.827,2860.6,3183.92,3424.738,3282.411,3263.927,2930.373,3238.204,3111.004,3629.337,3550.137,3521.635,38968.113
GASOLINA C (m3),2001,REGIÃO NORTE,PARÁ,m3,24540.269,23019.39,25016.135,24451.59,26300.629,31000.414,35192.03,35388.101,35351.1,35270.001,27654.287,27034.237,350218.183
GASOLINA C (m3),2001,REGIÃO NORTE,AMAPÁ,m3,3481.1,3208.3,3800.9,3625.85,3726.05,3761.65,3861.75,4076.5,3754.25,4032.19,3885.5,3989.7,45203.74
GASOLINA C (m3),2001,REGIÃO NORTE,TOCANTINS,m3,7403.849,6896.216,7649.493,7671.612,7976.217,8425.556,9072.67,8604.574,7759.726,9484.957,7242.11,7503.235,95690.215
GASOLINA C (m3),2001,REGIÃO NORDESTE,MARANHÃO,m3,17435.787,15343.845,17133.808,16260.772,17102.723,17869.133,17763.869,18493.755,17081.466,18504.404,18204.043,18477.319,209670.924
GASOLINA C (m3),2001,REGIÃO NORDESTE,PIAUÍ,m3,10840.166,9219.028,10374.806,10160.891,10555.12,10754.043,10861.045,11125.134,10561.399,10892.648,10976.837,10638.964,126960.081
GASOLINA C (m3),2001,REGIÃO NORDESTE,CEARÁ,m3,38692.247,34991.698,37412.089,36351.435,39006.418,38934.188,39219.403,39331.257,38330.006,39043.492,37527.636,39836.264,458676.133
GASOLINA C (m3),2001,REGIÃO NORDESTE,RIO GRANDE DO NORTE,m3,19274.629,17288.335,18023.763,17727.55,18209.134,18172.049,17817.301,18807.914,17166.509,18442.309,18317.242,18342.076,217588.811
GASOLINA C (m3),2001,REGIÃO NORDESTE,PARAÍBA,m3,18375.675,16808.017,17963.118,17647.309,17558.951,19703.729,17223.808,18670.465,18849.941,17877.784,17897.369,18936.94,217513.106
GASOLINA C (m3),2001,REGIÃO NORDESTE,PERNAMBUCO,m3,49183.421,45718.784,49285.975,47619.398,49844.058,50704.225,45087.57,49123.35,47728.134,48252.008,47384.871,49854.441,579786.235
